timestamp,src_ip,dst_ip,src_port,dst_port,protocol,bytes_sent,bytes_received,flags,duration,action
2025-06-01 03:18:23,117.143.16.169,198.158.190.67,18120,53,17,1632,3966,32,0.53,flagged
2025-06-01 09:28:25,22.157.89.80,55.117.45.255,29061,53,17,1079,7688,48,0.81,allow
2025-06-01 18:34:27,49.15.152.255,40.142.111.200,32955,21,6,576,7252,48,0.45,allow
2025-06-01 16:38:15,119.166.12.174,182.192.15.85,57949,36596,17,41205,4556,0,0.66,flagged
2025-06-01 07:49:54,28.34.219.198,184.66.113.102,6572,443,6,1048,6588,2,0.5,allow
2025-06-01 22:55:33,179.26.97.174,228.42.234.177,63336,57375,17,14057,5245,16,1.53,flagged
2025-06-01 17:23:19,211.226.248.233,33.76.206.241,62714,32016,6,6263,7812,64,0.2,flagged
2025-06-01 10:41:06,193.224.42.251,157.239.20.199,6738,443,6,646,7908,16,0.81,allow
2025-06-01 06:52:13,57.169.187.245,135.181.169.39,49916,25,6,1968,1772,24,1.56,allow
2025-06-01 21:45:07,235.244.38.217,178.13.31.160,33036,22,6,779,4117,24,1.57,allow
2025-06-01 22:50:14,111.188.127.69,230.128.22.210,1984,22,6,1722,5900,0,1.99,allow
2025-06-01 04:00:20,219.21.224.5,176.225.211.159,51536,51334,6,33024,6960,2,2.27,flagged
2025-06-01 13:36:23,130.209.60.131,32.187.241.51,47109,17722,6,28369,1969,1,1.86,flagged
2025-06-01 05:22:54,41.72.200.61,166.166.212.22,4276,443,6,585,8726,48,0.83,flagged
2025-06-01 16:50:27,238.195.66.10,86.29.178.48,24251,53,6,1601,3816,1,1.0,allow
2025-06-01 10:31:47,12.167.166.148,103.171.137.222,8341,80,6,137,3210,32,1.64,allow
2025-06-01 20:19:20,29.49.255.52,38.86.64.72,33386,47865,17,7964,3395,48,2.61,flagged
2025-06-01 15:45:41,157.240.214.142,45.63.8.14,9761,22,6,1179,8416,1,1.39,allow
2025-06-01 13:56:32,8.35.113.197,125.121.18.155,57419,25,6,731,8743,32,0.75,allow
2025-06-01 19:27:51,107.62.243.66,118.86.22.55,24074,53,17,1769,9155,48,1.08,allow
2025-06-01 01:42:08,123.20.11.29,97.1.113.239,43367,443,6,310,1333,1,0.87,flagged
2025-06-01 16:55:34,204.170.86.202,38.191.22.222,50205,21,6,1891,295,1,1.5,allow
2025-06-01 07:58:25,237.134.219.178,252.250.121.97,32740,443,6,1266,3085,32,0.57,allow
2025-06-01 12:56:14,179.56.5.90,118.20.237.107,50174,21,17,1053,1589,16,1.97,allow
2025-06-01 14:18:36,58.25.61.97,248.102.194.147,33537,25,17,458,7842,24,0.41,allow
2025-06-01 09:18:05,118.134.250.99,201.216.62.118,16013,53,6,360,3590,1,1.63,allow
2025-06-01 13:25:50,82.220.240.111,142.13.20.213,23987,53,17,1189,8081,1,0.6,allow
2025-06-01 23:47:10,50.50.99.52,60.44.142.129,14041,443,6,1280,4006,64,1.28,allow
2025-06-01 19:16:13,55.243.177.43,138.5.135.234,18548,34215,6,33595,2991,1,0.83,flagged
2025-06-01 10:21:49,133.49.169.236,167.95.20.195,5779,22,6,1762,2492,48,0.11,allow
2025-06-01 14:21:43,29.87.171.225,236.3.13.31,19095,25,17,1197,6548,18,1.81,allow
2025-06-01 11:03:06,66.23.71.192,87.237.19.170,31859,1456,6,5691,4961,32,1.94,flagged
2025-06-01 09:01:54,54.62.151.78,213.249.184.15,18177,21,6,537,8033,2,0.65,allow
2025-06-01 18:46:29,90.223.247.69,164.253.188.174,53570,21,6,1547,655,48,0.14,allow
2025-06-01 18:35:39,118.207.107.135,144.29.113.147,5609,80,6,954,2882,2,1.02,allow
2025-06-01 03:19:59,163.224.135.235,21.250.110.215,52117,22,6,452,8901,64,2.0,flagged
2025-06-01 09:23:19,82.14.74.64,233.243.121.78,38819,443,6,926,5318,16,1.54,allow
2025-06-01 03:31:34,254.21.30.41,241.235.133.154,19002,22,6,484,4625,64,0.94,allow
2025-06-01 16:42:00,60.254.255.201,220.137.184.1,55311,22,6,307,8216,0,1.03,allow
2025-06-01 14:20:37,126.62.114.140,194.172.5.109,54843,35858,6,45345,5590,24,0.71,flagged
2025-06-01 09:57:51,155.141.8.38,155.234.112.130,15866,18214,17,41269,5182,0,2.68,flagged
2025-06-01 18:27:03,81.226.5.128,190.212.219.208,21667,21,17,1680,6175,16,0.98,allow
2025-06-01 21:20:20,200.147.74.160,152.173.45.166,1475,22,6,884,1541,2,0.71,allow
2025-06-01 09:34:20,121.122.129.203,236.254.17.46,50232,25,6,1634,5563,18,1.44,allow
2025-06-01 13:50:28,91.110.209.73,48.153.3.202,40118,22,6,779,6261,0,0.37,allow
2025-06-01 04:16:09,250.12.156.230,62.30.164.98,24413,80,6,368,7308,64,0.7,flagged
2025-06-01 11:01:32,219.219.90.38,13.207.52.148,56967,443,6,1596,1331,2,0.58,allow
2025-06-01 08:19:38,108.221.16.239,82.220.112.139,55088,443,6,739,8100,16,0.95,allow
2025-06-01 09:21:34,255.97.56.146,250.17.28.148,17010,25,17,1520,1900,64,0.67,allow
2025-06-01 05:48:28,46.12.169.178,143.238.53.121,6579,25,17,1446,7811,24,1.32,flagged
2025-06-01 11:23:18,67.114.62.111,172.59.109.174,34976,59079,17,44162,5926,64,1.94,flagged
2025-06-01 13:09:07,230.82.244.189,160.243.56.83,58061,53,17,1904,6887,18,1.44,allow
2025-06-01 00:05:02,168.200.166.19,182.177.148.104,43432,80,6,314,1602,1,1.88,flagged
2025-06-01 22:50:51,194.206.196.71,80.106.11.106,30889,80,6,1040,5096,24,1.17,allow
2025-06-01 16:45:28,254.225.239.184,111.226.59.235,1997,28438,6,3488,3981,16,1.42,flagged
2025-06-01 17:35:56,125.59.186.8,34.98.173.219,50579,21,17,1661,9218,64,1.56,allow
2025-06-01 14:12:50,140.239.203.192,111.128.72.248,30724,22,6,662,3892,64,0.51,allow
2025-06-01 08:43:39,91.255.43.98,169.121.97.131,12097,53,6,1353,9693,32,1.94,allow
2025-06-01 00:29:16,139.46.39.75,199.207.66.229,49268,22,6,1220,1220,0,0.41,flagged
2025-06-01 06:06:53,29.217.159.1,120.246.63.28,14618,21,17,1020,4670,24,1.32,allow
2025-06-01 03:44:15,237.88.50.226,14.156.39.2,9616,80,6,687,1801,16,1.89,flagged
2025-06-01 05:09:19,100.52.145.207,136.22.44.48,10815,21,17,1178,5675,24,1.81,flagged
2025-06-01 08:36:32,219.104.99.7,102.248.182.111,54626,25,6,785,5444,18,1.12,allow
2025-06-01 16:01:35,183.36.232.35,227.153.159.131,54194,80,6,1603,7597,2,0.73,allow
2025-06-01 13:05:29,222.106.163.14,187.160.42.55,25488,25,17,898,2447,32,1.03,allow
2025-06-01 08:25:36,157.221.8.122,237.142.51.211,18834,25,6,1980,3967,0,0.36,allow
2025-06-01 05:36:01,208.153.126.189,214.43.151.147,45699,25,17,1392,6249,24,0.91,flagged
2025-06-01 13:29:12,225.34.13.197,181.123.35.156,65271,43911,6,7554,3528,1,2.66,flagged
2025-06-01 03:16:28,90.91.65.98,64.128.56.168,36507,53,6,1219,6334,2,0.43,flagged
2025-06-01 19:22:31,12.241.2.137,235.80.239.117,59502,25,6,1876,4008,2,1.14,allow
2025-06-01 05:55:11,178.5.106.8,190.164.233.172,15514,443,6,505,3015,18,0.44,flagged
2025-06-01 08:56:21,162.129.49.107,33.34.251.120,27308,80,6,352,1745,64,1.84,allow
2025-06-01 22:30:48,151.99.161.56,48.252.20.44,20798,39356,17,19552,8877,2,0.78,flagged
2025-06-01 16:08:20,234.81.40.39,24.93.138.244,1954,59705,6,22872,3336,2,1.94,flagged
2025-06-01 14:17:10,253.95.50.105,69.233.109.154,26242,53,17,1562,5968,48,0.64,allow
2025-06-01 05:53:11,84.19.26.189,225.57.76.49,1130,22,6,1542,1469,0,0.13,allow
2025-06-01 12:25:10,228.252.247.113,128.205.254.224,42441,443,6,1304,305,1,0.23,allow
2025-06-01 14:27:16,250.41.120.243,94.93.212.84,64171,80,6,819,5845,48,1.12,allow
2025-06-01 07:52:40,64.13.27.33,137.139.46.251,41624,53,6,504,2377,24,1.81,allow
2025-06-01 15:58:58,19.216.96.210,158.242.79.205,14557,22,6,1061,9939,2,1.61,allow
2025-06-01 08:46:15,107.217.18.56,102.124.234.181,65369,25,17,1033,3056,64,0.76,allow
2025-06-01 23:25:22,86.90.147.64,127.178.90.197,25209,22,6,1849,5524,2,0.91,allow
2025-06-01 00:29:19,126.20.127.40,152.251.104.229,52120,80,6,1388,5965,18,0.96,flagged
2025-06-01 23:04:07,211.242.244.134,190.70.80.129,16997,53,17,1739,2604,24,1.19,flagged
2025-06-01 07:56:00,111.168.87.105,102.188.247.185,51059,80,6,799,9407,24,1.34,allow
2025-06-01 01:08:03,171.244.75.103,86.66.64.251,16216,22,6,749,2930,18,1.48,allow
2025-06-01 21:39:44,244.147.110.53,76.169.110.247,31524,7476,17,45870,6505,16,0.48,flagged
2025-06-01 10:37:48,60.219.69.246,81.3.217.131,12322,32622,17,25833,2250,32,2.51,flagged
2025-06-01 07:48:06,180.66.16.129,128.79.5.40,38020,22201,6,17552,6514,0,0.86,flagged
2025-06-01 17:35:55,27.67.229.229,174.102.174.127,23757,5523,17,49295,5990,64,0.97,flagged
2025-06-01 02:35:22,224.238.246.135,28.242.13.51,64189,48382,17,28255,1117,32,1.62,flagged
2025-06-01 03:04:31,239.81.78.138,115.66.255.168,40503,21,6,1524,8597,48,0.44,flagged
2025-06-01 08:18:47,199.14.215.171,249.117.13.45,42707,21,6,365,6264,18,0.85,allow
2025-06-01 22:37:19,160.4.165.66,69.167.9.35,54421,443,6,603,5995,16,1.48,allow
2025-06-01 17:27:59,182.81.157.226,238.131.80.151,63054,80,6,293,1345,32,1.52,allow
2025-06-01 15:32:28,240.132.154.33,208.7.121.196,38081,22,6,1637,5148,64,0.25,allow
2025-06-01 05:55:34,61.202.182.8,106.171.186.159,36397,25,17,1544,4763,0,0.52,flagged
2025-06-01 01:28:00,254.171.135.1,14.202.158.240,54147,55070,17,21136,1254,64,1.89,flagged
2025-06-01 23:04:54,106.66.169.77,225.197.54.48,50245,80,6,1343,9294,18,1.52,flagged
2025-06-01 01:20:48,190.100.49.50,164.122.173.158,38235,21,17,671,1708,0,1.07,flagged
2025-06-01 15:43:18,238.32.168.86,239.193.111.118,15181,38784,17,8455,3448,18,1.59,flagged
2025-06-01 10:58:28,76.230.3.172,32.95.24.224,4016,80,6,1154,4142,32,0.1,allow
2025-06-01 15:52:05,255.32.42.214,38.216.179.135,11174,25,17,1242,4458,1,0.55,allow
2025-06-01 21:04:31,174.50.17.128,24.123.174.187,6067,80,6,1372,754,1,0.97,allow
2025-06-01 08:28:59,163.74.51.17,101.243.181.50,47414,22,6,659,3418,1,1.31,allow
2025-06-01 23:24:12,51.159.16.212,252.49.71.249,33534,21089,17,19550,6711,32,1.26,flagged
2025-06-01 13:47:34,29.122.127.14,214.242.54.93,57113,25,6,1244,1389,32,0.92,allow
2025-06-01 06:10:10,133.164.180.152,239.190.89.16,43829,21,6,494,9118,48,1.33,allow
2025-06-01 20:11:47,42.53.39.202,16.248.45.14,6485,22,6,367,4180,32,0.17,allow
2025-06-01 22:33:57,249.109.160.51,162.62.199.242,59546,53,17,1906,6048,16,0.87,allow
2025-06-01 14:50:00,31.122.130.26,22.106.217.207,25045,21,6,689,3798,48,1.73,allow
2025-06-01 21:58:43,42.255.249.147,164.207.233.162,59872,7922,17,15559,7715,64,1.98,flagged
2025-06-01 11:51:47,59.145.197.39,1.60.43.255,45385,58356,17,18313,6888,18,1.38,flagged
2025-06-01 12:18:48,5.124.224.68,196.4.200.179,49499,443,6,1527,310,16,0.22,allow
2025-06-01 11:24:56,86.200.129.104,213.186.60.121,34795,22,6,444,1911,18,0.29,allow
2025-06-01 22:45:51,219.243.149.94,202.39.24.31,26918,21,17,1889,4256,32,1.7,allow
2025-06-01 08:36:27,160.174.165.211,202.190.225.74,47572,49662,17,8372,7414,24,2.33,flagged
2025-06-01 13:10:12,79.46.17.12,152.114.224.140,34349,21,6,490,4273,24,1.43,allow
2025-06-01 10:37:30,32.13.73.206,119.45.7.120,12618,30919,6,47828,1911,64,0.14,flagged
2025-06-01 10:14:13,194.199.198.45,112.118.204.178,50236,25,17,1822,9281,24,1.82,allow
2025-06-01 18:35:45,20.115.45.79,199.96.227.230,8438,443,6,1950,5837,64,1.68,allow
2025-06-01 23:57:18,130.45.57.205,200.102.147.167,4687,25,17,1379,2280,64,1.85,flagged
2025-06-01 14:39:57,118.220.157.7,233.175.171.81,33737,29822,6,2051,5920,16,0.28,flagged
2025-06-01 11:54:20,120.43.237.10,206.88.223.215,65354,443,6,1025,485,16,1.73,allow
2025-06-01 11:48:23,148.139.45.192,96.158.38.239,4964,22,6,1849,4529,32,0.5,allow
2025-06-01 13:33:48,132.217.160.127,73.248.145.61,12246,59866,17,18067,1769,48,1.59,flagged
2025-06-01 14:40:30,88.47.204.193,187.47.167.94,39844,80,6,1633,7715,32,1.26,allow
2025-06-01 03:26:59,227.73.3.104,184.180.21.4,46947,443,6,1182,6670,18,1.49,flagged
2025-06-01 18:01:31,64.235.103.19,251.120.23.231,23636,22,6,915,599,16,1.7,allow
2025-06-01 14:07:27,254.220.57.182,245.155.249.253,57626,21,6,1421,6111,18,1.93,allow
2025-06-01 15:23:58,113.134.129.17,47.121.52.139,13381,443,6,133,4258,18,0.31,allow
2025-06-01 02:24:35,236.110.36.243,169.216.255.229,37295,21,6,668,7300,64,0.85,flagged
2025-06-01 05:53:27,14.215.60.96,17.124.220.223,6389,25,17,228,818,2,1.33,flagged
2025-06-01 08:33:15,160.87.212.55,203.16.136.25,64841,25,17,1513,5004,18,1.56,allow
2025-06-01 10:03:53,37.28.248.175,60.120.11.205,43897,22,6,582,1523,32,0.51,allow
2025-06-01 20:52:08,115.73.128.66,54.186.28.109,28573,22,6,1880,322,64,1.51,allow
2025-06-01 14:10:22,51.145.220.199,190.209.39.238,16920,53,6,1243,6979,24,1.9,allow
2025-06-01 12:54:43,205.225.205.13,129.44.5.5,54340,53,17,534,7090,32,1.87,allow
2025-06-01 14:32:31,160.222.215.76,67.151.48.42,27419,44433,17,19213,9410,18,1.57,flagged
2025-06-01 02:51:28,19.245.48.40,43.87.40.145,12205,10535,6,26463,8400,16,0.3,flagged
2025-06-01 02:37:18,3.250.216.139,81.6.78.53,11276,26579,6,24860,3025,1,0.36,flagged
2025-06-01 08:55:54,96.150.37.3,248.222.13.186,29637,22,6,1495,4080,1,1.52,allow
2025-06-01 14:00:46,115.46.172.225,63.84.166.21,38868,21,17,1150,3606,16,1.19,allow
2025-06-01 17:22:01,49.88.56.115,153.162.248.101,29075,443,6,1009,3697,24,0.86,allow
2025-06-01 03:45:52,137.115.166.232,185.130.164.165,36079,21,17,1580,4828,48,0.96,flagged
2025-06-01 04:03:09,113.226.232.34,125.60.247.63,50689,25,17,1087,2995,48,0.29,allow
2025-06-01 04:25:14,230.181.103.37,63.39.107.202,40234,22,6,378,1973,18,1.32,flagged
2025-06-01 00:21:03,191.147.37.60,121.224.209.111,13952,25,17,383,1412,32,0.65,allow
